Numero de Factura,Fecha,C.U.I.T.,IVA,Total Bruto Gravado,Total general
3034-06605637,09.08.2024,30-70857483-6,21,"19.077,69","23.084,00"
3034-06606363,09.08.2024,30-70857483-6,21,"5.788,43","7.004,00"
